t_star	a	k	B	p	c	sigma_tau	r0
33	1	0.02	0	1	25	20	0.7359950475417992
33	1	0.02	0	1.2	25	20	0.7359950475417992
33	1	0.02	0	0.8	25	20	0.7359950475417992
33	1	0.02	0	1.2	10	20	0.7359950475417992
33	1	0.02	0	0.8	10	20	0.7359950475417992
33	1	0.02	0.8	1.2	25	20	0.7359728053923171
33	2	0.006	1.6	1	25	25	0.7359281695945383
33	1	0.02	1.6	1.2	25	20	0.7359224280371518
33	3	0.004	1.6	1.2	10	60	0.7358087106990251
33	2	0.006	0.8	0.8	10	25	0.7358051490620469
33	1	0.02	0.8	1	25	20	0.7357523292598991
33	2	0.006	0.8	0.8	25	25	0.7356531058988655
33	1	0.02	0.8	0.8	10	20	0.7356035753034422
33	1	0.02	1.6	1	25	20	0.7354119149354927
33	3	0.006	1.6	1.2	10	60	0.7352956267813964
33	3	0.004	0.8	1	10	60	0.7351703871683674
33	1	0.02	0.8	0.8	25	20	0.7350496442727183
33	3	0.004	1.6	1	25	60	0.7349091684481144
33	3	0.004	0.8	0.8	25	60	0.7347771676597594
33	3	0.006	0.8	1	10	60	0.734652564
33	3	0.006	1.6	1	25	60	0.734379223
33	2	0.006	1.6	0.8	25	25	0.7343189729155364
33	2	0.006	1.6	0.8	10	25	0.73428895
33	3	0.006	0.8	0.8	25	60	0.7342427028355394
33	1	0.02	1.6	0.8	10	20	0.7342201506141588
33	2	0.05	1.6	1	10	40	0.7341383897795956
33	3	0.004	0.8	1.2	10	60	0.7338972817672504
33	1	0.02	1.6	0.8	25	20	0.7337963336722475
33	3	0.004	1.6	1.2	25	60	0.7335080385790264
33	3	0.004	0.8	1	25	60	0.7334457494191711
33	3	0.006	0.8	1.2	10	60	0.7333841532358175
33	1	0.05	1.6	0.8	10	40	0.7333022199600105
33	3	0.02	1.6	1	10	60	0.7332680008474224
33	3	0.006	1.6	1.2	25	60	0.7329884796432132
33	3	0.006	0.8	1	25	60	0.7329241068444402
33	2	0.05	0.8	0.8	10	40	0.7327733767232488
33	3	0.004	0.8	1.2	25	60	0.7327410830536238
33	2	0.05	1.6	0.8	25	40	0.7323203444028263
33	3	0.02	1.6	0.8	25	60	0.7322569540921423
33	3	0.006	0.8	1.2	25	60	0.7322245270932514
33	3	0.02	0.8	0.8	10	60	0.7321268050600389
33	3	0.004	0	0.8	25	60	0.7319715543651092
33	3	0.004	0	0.8	10	60	0.7319715543651092
33	3	0.004	0	1.2	25	60	0.7319715543651092
33	3	0.004	0	1	25	60	0.7319715543651092
33	3	0.004	0	1.2	10	60	0.7319715543651092
33	3	0.004	0	1	10	60	0.7319715543651092
33	2	0.05	1.6	1.2	10	40	0.7318385065564782
33	3	0.006	0	1	25	60	0.7314579207787889
33	3	0.006	0	1.2	25	60	0.7314579207787889
33	3	0.006	0	0.8	25	60	0.7314579207787889
33	3	0.006	0	1	10	60	0.7314579207787889
33	3	0.006	0	1.2	10	60	0.7314579207787889
33	3	0.006	0	0.8	10	60	0.7314579207787889
33	2	0.05	0.8	1	10	40	0.7310202516904052
33	3	0.02	1.6	1.2	10	60	0.7308255357545711
33	1	0.004	1.6	1	10	40	0.7307109971308173
33	1	0.006	1.6	1	10	40	0.7305962739319262
33	2	0.05	1.6	1	25	40	0.7303795893628409
33	3	0.02	0.8	1	10	60	0.7301562100891623
33	2	0.05	0.8	0.8	25	40	0.730103399
33	3	0.02	1.6	1	25	60	0.7298135861588593
